"d_index_level","density_index_levels","p_index_level","proximity_index_levels","prelim_diz_zone"
1,"lowest",1,"lowest",1
1,"lowest",2,"low",1
1,"lowest",3,"medium-low",2
1,"lowest",4,"medium-high",2
1,"lowest",5,"high",3
1,"lowest",6,"extreme",3
2,"low",1,"lowest",1
2,"low",2,"low",2
2,"low",3,"medium-low",2
2,"low",4,"medium-high",3
2,"low",5,"high",3
2,"low",6,"highest",3
3,"medium-low",1,"lowest",2
3,"medium-low",2,"low",2
3,"medium-low",3,"medium-low",3
3,"medium-low",4,"medium-high",3
3,"medium-low",5,"high",4
3,"medium-low",6,"highest",4
4,"medium-high",1,"lowest",2
4,"medium-high",2,"low",3
4,"medium-high",3,"medium-low",3
4,"medium-high",4,"medium-high",4
4,"medium-high",5,"high",4
4,"medium-high",6,"highest",4
5,"high",1,"lowest",3
5,"high",2,"low",3
5,"high",3,"medium-low",4
5,"high",4,"medium-high",4
5,"high",5,"high",5
5,"high",6,"highest",5
6,"highest",1,"lowest",3
6,"highest",2,"low",3
6,"highest",3,"medium-low",4
6,"highest",4,"medium-high",4
6,"highest",5,"high",5
6,"highest",6,"highest",6
